Start Date,End Date,Start Price,End Price,Price Change,Percent Change,Return
2020-01-27,2020-02-10,323.5,334.68,11.180000000000007,3.455950540958271,34.55950540958271
2020-02-24,2020-03-11,322.42,274.36,-48.06,-14.906023199553378,-149.06023199553377
2020-03-24,2020-04-09,243.15,278.2,35.04999999999998,14.414970183014592,144.14970183014591
2020-04-23,2020-05-08,279.08,292.44,13.360000000000014,4.787157804213851,47.87157804213851
2020-05-26,2020-06-08,299.08,323.2,24.120000000000005,8.06473184432259,80.64731844322591
2020-06-22,2020-07-06,310.62,317.05,6.430000000000007,2.0700534415040908,20.700534415040906
2020-07-21,2020-08-04,325.01,330.06,5.050000000000011,1.5537983446663215,15.537983446663215
2020-08-19,2020-09-03,337.23,345.39,8.159999999999968,2.4197135486166617,24.197135486166616
2020-09-18,2020-10-05,330.65,339.76,9.110000000000014,2.755179192499626,27.55179192499626
2020-10-19,2020-11-02,342.01,330.2,-11.810000000000002,-3.453115405982282,-34.531154059822825
2020-11-16,2020-12-01,362.57,366.02,3.4499999999999886,0.9515403922001238,9.515403922001237
2020-12-15,2020-12-31,369.59,373.88,4.2900000000000205,1.1607456911713034,11.607456911713033
2021-01-13,2021-02-01,379.79,376.23,-3.5600000000000023,-0.9373601200663529,-9.37360120066353
2021-02-12,2021-03-01,392.64,389.58,-3.0600000000000023,-0.7793398533007342,-7.793398533007342
2021-03-15,2021-03-30,396.41,394.73,-1.6800000000000068,-0.42380363764789153,-4.238036376478916
2021-04-12,2021-04-28,411.64,417.4,5.759999999999991,1.399280925080165,13.99280925080165
2021-05-12,2021-05-27,405.41,419.29,13.879999999999995,3.423694531461975,34.23694531461975
2021-06-10,2021-06-28,423.61,427.47,3.8600000000000136,0.9112155048275568,9.112155048275568
2021-07-12,2021-07-26,437.08,441.02,3.9399999999999977,0.9014368079070187,9.014368079070188
2021-08-09,2021-08-23,442.13,447.26,5.1299999999999955,1.1602922217447347,11.602922217447347
2021-09-07,2021-09-22,451.46,437.86,-13.599999999999966,-3.012448500420849,-30.12448500420849
2021-10-07,2021-10-21,438.66,453.59,14.92999999999995,3.403547166370298,34.03547166370298
2021-11-05,2021-11-22,468.53,467.57,-0.9599999999999795,-0.20489616459991455,-2.0489616459991455
2021-12-06,2021-12-20,458.79,454.98,-3.8100000000000023,-0.830445301772053,-8.30445301772053
2022-01-03,2022-01-19,477.71,451.75,-25.95999999999998,-5.434259278641849,-54.342592786418486
2022-02-01,2022-02-18,452.95,434.23,-18.71999999999997,-4.132906501821386,-41.32906501821387
2022-03-03,2022-03-21,435.71,444.39,8.680000000000007,1.992150742466321,19.921507424663208
2022-04-01,2022-04-18,452.92,437.97,-14.949999999999989,-3.300803673938,-33.008036739379996
2022-05-02,2022-05-17,414.48,408.32,-6.160000000000025,-1.4861995753715558,-14.861995753715558
2022-05-31,2022-06-15,412.93,379.2,-33.73000000000002,-8.168454701765436,-81.68454701765437
2022-06-29,2022-07-15,380.34,385.13,4.7900000000000205,1.259399484671615,12.59399484671615
2022-07-29,2022-08-15,411.99,428.86,16.870000000000005,4.094759581543243,40.94759581543243
2022-08-29,2022-09-12,402.63,410.97,8.340000000000032,2.071380672081075,20.713806720810748
2022-09-26,2022-10-11,364.31,357.74,-6.569999999999993,-1.8034091844857385,-18.034091844857382
2022-10-25,2022-11-09,384.92,374.13,-10.79000000000002,-2.8031798815338305,-28.031798815338306
2022-11-25,2022-12-09,402.33,393.28,-9.050000000000011,-2.2493972609549404,-22.493972609549406
2022-12-23,2023-01-09,382.91,387.86,4.949999999999989,1.29273197357081,12.9273197357081
2023-01-23,2023-02-07,400.63,415.19,14.560000000000002,3.6342760152759412,36.34276015275941
2023-02-21,2023-03-08,399.09,398.92,-0.16999999999995907,-0.04259690796561154,-0.42596907965611536
2023-03-22,2023-04-10,392.11,409.61,17.5,4.463033332483231,44.630333324832314
2023-04-20,2023-05-08,411.88,412.74,0.8600000000000136,0.20879867922696263,2.0879867922696262
2023-05-22,2023-06-05,418.79,427.1,8.310000000000002,1.9842880680054447,19.842880680054446
2023-06-20,2023-07-05,437.18,443.13,5.949999999999989,1.360995470973052,13.609954709730522
2023-07-18,2023-08-03,454.19,448.84,-5.350000000000023,-1.1779211343270488,-11.779211343270488
2023-08-16,2023-09-01,439.64,451.19,11.550000000000011,2.627149485943047,26.27149485943047
2023-09-15,2023-10-02,443.37,427.31,-16.060000000000002,-3.6222568058280897,-36.2225680582809
2023-10-16,2023-10-30,436.04,415.59,-20.450000000000045,-4.689936703054776,-46.89936703054776
2023-11-13,2023-11-28,440.19,454.93,14.740000000000009,3.3485540334855424,33.48554033485542
2023-12-13,2023-12-28,470.5,476.69,6.189999999999998,1.315621679064824,13.15621679064824
