Start Date,End Date,Start Price,End Price,Price Change,Percent Change,Return
2020-01-27,2020-02-10,77.2375,80.3875,3.1500000000000057,4.078329826832829,40.783298268328295
2020-02-24,2020-03-11,74.545,68.8575,-5.6875,-7.629619692803005,-76.29619692803006
2020-03-24,2020-04-09,61.72,66.9975,5.277500000000003,8.550712896953991,85.5071289695399
2020-04-23,2020-05-08,68.7575,77.5325,8.775000000000006,12.76224411882341,127.62244118823409
2020-05-26,2020-06-08,79.1825,83.365,4.18249999999999,5.282101474441942,52.821014744419415
2020-06-22,2020-07-06,89.7175,93.4625,3.7450000000000045,4.174213503497093,41.74213503497093
2020-07-21,2020-08-04,97.0,109.665,12.665000000000006,13.056701030927842,130.56701030927843
2020-08-19,2020-09-03,115.7075,120.88,5.172499999999999,4.47032387701748,44.7032387701748
2020-09-18,2020-10-05,106.84,116.5,9.659999999999997,9.04155746911269,90.41557469112689
2020-10-19,2020-11-02,115.98,108.77,-7.210000000000008,-6.2165890670805375,-62.165890670805375
2020-11-16,2020-12-01,120.3,122.72,2.4200000000000017,2.011637572734831,20.11637572734831
2020-12-15,2020-12-31,127.88,132.69,4.810000000000002,3.761338755082892,37.613387550828925
2021-01-13,2021-02-01,130.89,134.14,3.25,2.4830009932003976,24.830009932003975
2021-02-12,2021-03-01,135.37,127.79,-7.579999999999998,-5.599468124399792,-55.99468124399792
2021-03-15,2021-03-30,123.99,119.9,-4.089999999999989,-3.298653117186862,-32.98653117186861
2021-04-12,2021-04-28,131.24,133.58,2.3400000000000034,1.782992989942093,17.829929899420932
2021-05-12,2021-05-27,122.77,125.28,2.510000000000005,2.0444734055551073,20.444734055551073
2021-06-10,2021-06-28,126.11,134.78,8.670000000000002,6.874950440091984,68.74950440091985
2021-07-12,2021-07-26,144.5,148.99,4.490000000000009,3.1072664359861655,31.072664359861655
2021-08-09,2021-08-23,146.09,149.71,3.6200000000000045,2.4779245670477135,24.779245670477135
2021-09-07,2021-09-22,156.69,145.85,-10.840000000000003,-6.918118578084117,-69.18118578084118
2021-10-07,2021-10-21,143.29,149.48,6.189999999999998,4.319910670667875,43.19910670667875
2021-11-05,2021-11-22,151.28,161.02,9.740000000000009,6.438392384981498,64.38392384981498
2021-12-06,2021-12-20,165.32,169.75,4.430000000000007,2.6796515848052307,26.796515848052305
2022-01-03,2022-01-19,182.01,166.23,-15.780000000000001,-8.669853304763475,-86.69853304763475
2022-02-01,2022-02-18,174.61,167.3,-7.310000000000002,-4.186472710612223,-41.864727106122224
2022-03-03,2022-03-21,166.23,165.38,-0.8499999999999943,-0.5113397100403022,-5.113397100403022
2022-04-01,2022-04-18,174.31,165.07,-9.240000000000009,-5.3009006941655725,-53.00900694165572
2022-05-02,2022-05-17,157.96,149.24,-8.719999999999999,-5.520384907571536,-55.20384907571536
2022-05-31,2022-06-15,148.84,135.43,-13.409999999999997,-9.00967481859715,-90.09674818597149
2022-06-29,2022-07-15,139.23,150.17,10.939999999999998,7.857501975149033,78.57501975149033
2022-07-29,2022-08-15,162.51,173.19,10.680000000000007,6.571903267491236,65.71903267491236
2022-08-29,2022-09-12,161.38,163.43,2.0500000000000114,1.2702937166935255,12.702937166935255
2022-09-26,2022-10-11,150.77,138.98,-11.79000000000002,-7.819858061948677,-78.19858061948678
2022-10-25,2022-11-09,152.34,134.87,-17.47,-11.467769463043192,-114.67769463043193
2022-11-25,2022-12-09,148.11,142.16,-5.950000000000017,-4.017284450746078,-40.17284450746078
2022-12-23,2023-01-09,131.86,130.15,-1.710000000000008,-1.296829971181562,-12.968299711815622
2023-01-23,2023-02-07,141.11,154.65,13.539999999999992,9.595351144497194,95.95351144497194
2023-02-21,2023-03-08,148.48,152.87,4.390000000000015,2.956627155172424,29.566271551724242
2023-03-22,2023-04-10,157.83,162.03,4.199999999999989,2.6610910473293976,26.610910473293973
2023-04-20,2023-05-08,166.65,173.5,6.849999999999994,4.110411041104107,41.10411041104107
2023-05-22,2023-06-05,174.2,179.58,5.380000000000024,3.0884041331802665,30.884041331802667
2023-06-20,2023-07-05,185.01,191.33,6.320000000000022,3.4160315658613167,34.160315658613165
2023-07-18,2023-08-03,193.73,191.17,-2.5600000000000023,-1.3214267279203027,-13.214267279203026
2023-08-16,2023-09-01,176.57,189.46,12.890000000000015,7.300220875573436,73.00220875573436
2023-09-15,2023-10-02,175.01,173.75,-1.259999999999991,-0.7199588594937381,-7.199588594937381
2023-10-16,2023-10-30,178.72,170.29,-8.430000000000007,-4.716875559534471,-47.16875559534471
2023-11-13,2023-11-28,184.8,190.4,5.599999999999994,3.0303030303030267,30.303030303030265
2023-12-13,2023-12-28,197.96,193.58,-4.3799999999999955,-2.2125681955950673,-22.125681955950675
