Start Date,End Date,Start Price,End Price,Price Change,Percent Change,Return
2020-01-27,2020-02-10,36.5933,38.5767,1.9834000000000032,5.420117890433503,54.20117890433503
2020-02-24,2020-03-11,38.2467,33.1067,-5.140000000000001,-13.439067945731267,-134.39067945731267
2020-03-24,2020-04-09,27.6633,35.9733,8.310000000000002,30.039800023858334,300.39800023858334
2020-04-23,2020-05-08,34.6167,35.8633,1.2466000000000008,3.601152045111177,36.01152045111177
2020-05-26,2020-06-08,38.76,40.4333,1.6733000000000047,4.317079463364306,43.17079463364306
2020-06-22,2020-07-06,39.9033,40.36,0.4566999999999979,1.1445168695320884,11.445168695320884
2020-07-21,2020-08-04,43.67,43.2333,-0.43670000000000186,-1.0000000000000042,-10.000000000000043
2020-08-19,2020-09-03,43.29,44.42,1.1300000000000026,2.6103026103026163,26.103026103026163
2020-09-18,2020-10-05,40.8167,41.6233,0.8066000000000031,1.9761519182099558,19.76151918209956
2020-10-19,2020-11-02,42.4933,41.06,-1.4332999999999956,-3.3730023321323492,-33.73002332132349
2020-11-16,2020-12-01,41.8433,43.3033,1.4600000000000009,3.4892085471270216,34.892085471270214
2020-12-15,2020-12-31,42.43,44.2467,1.8166999999999973,4.281640348809798,42.81640348809798
2021-01-13,2021-02-01,47.4967,46.2033,-1.2933999999999983,-2.7231365547501163,-27.231365547501163
2021-02-12,2021-03-01,47.33,47.29,-0.03999999999999915,-0.08451299387280614,-0.8451299387280614
2021-03-15,2021-03-30,48.6633,49.15,0.486699999999999,1.0001376807573654,10.001376807573655
2021-04-12,2021-04-28,52.03,53.2167,1.1867000000000019,2.2807995387276607,22.80799538727661
2021-05-12,2021-05-27,52.7867,55.3267,2.539999999999999,4.811818128430076,48.11818128430076
2021-06-10,2021-06-28,56.12,59.0367,2.916700000000006,5.197255880256604,51.972558802566034
2021-07-12,2021-07-26,59.8833,62.1933,2.3100000000000023,3.857502843029697,38.57502843029697
2021-08-09,2021-08-23,62.8933,63.5133,0.6199999999999974,0.9857965792858657,9.857965792858657
2021-09-07,2021-09-22,65.49,64.8333,-0.6567000000000007,-1.0027485112230887,-10.027485112230886
2021-10-07,2021-10-21,65.97,66.2867,0.3166999999999973,0.48006669698347326,4.800666969834733
2021-11-05,2021-11-22,70.9433,69.23,-1.7132999999999896,-2.4150272118720015,-24.150272118720018
2021-12-06,2021-12-20,65.9933,66.1667,0.1734000000000009,0.2627539462339372,2.627539462339372
2022-01-03,2022-01-19,67.4867,60.37,-7.116700000000002,-10.545337081232304,-105.45337081232304
2022-02-01,2022-02-18,60.0433,57.18,-2.8633000000000024,-4.768725236620909,-47.687252366209094
2022-03-03,2022-03-21,57.4933,59.2133,1.7199999999999989,2.9916529404295784,29.916529404295787
2022-04-01,2022-04-18,60.64,59.4467,-1.1933000000000007,-1.9678430079155687,-19.678430079155685
2022-05-02,2022-05-17,52.23,49.5967,-2.6332999999999984,-5.04173846448401,-50.4173846448401
2022-05-31,2022-06-15,51.7533,49.9733,-1.7800000000000011,-3.4393942028817506,-34.393942028817506
2022-06-29,2022-07-15,51.02,52.3567,1.3366999999999933,2.6199529596236637,26.199529596236637
2022-07-29,2022-08-15,60.3,63.9833,3.6833000000000027,6.108291873963521,61.082918739635204
2022-08-29,2022-09-12,59.7,64.11,4.409999999999997,7.386934673366828,73.86934673366828
2022-09-26,2022-10-11,56.57,58.1,1.5300000000000011,2.7046137528725493,27.04613752872549
2022-10-25,2022-11-09,60.55,63.61,3.0600000000000023,5.053674649050375,50.53674649050375
2022-11-25,2022-12-09,67.15,63.2,-3.950000000000003,-5.882352941176474,-58.82352941176474
2022-12-23,2023-01-09,61.28,62.61,1.3299999999999983,2.170365535248039,21.70365535248039
2023-01-23,2023-02-07,62.32,59.95,-2.3699999999999974,-3.8029525032092386,-38.02952503209239
2023-02-21,2023-03-08,56.78,55.13,-1.6499999999999986,-2.9059528002817867,-29.059528002817867
2023-03-22,2023-04-10,52.94,54.38,1.4400000000000048,2.7200604457876936,27.200604457876935
2023-04-20,2023-05-08,56.49,54.92,-1.5700000000000003,-2.7792529651265716,-27.792529651265713
2023-05-22,2023-06-05,55.46,56.02,0.5600000000000023,1.009736747205197,10.09736747205197
2023-06-20,2023-07-05,51.62,49.92,-1.6999999999999957,-3.293297171638892,-32.93297171638892
2023-07-18,2023-08-03,51.38,49.38,-2.0,-3.892565200467107,-38.92565200467107
2023-08-16,2023-09-01,50.85,51.94,1.0899999999999963,2.1435594886922247,21.435594886922246
2023-09-15,2023-10-02,50.77,48.42,-2.3500000000000014,-4.62871774670081,-46.2871774670081
2023-10-16,2023-10-30,50.3,48.91,-1.3900000000000006,-2.763419483101393,-27.63419483101393
2023-11-13,2023-11-28,52.09,55.58,3.489999999999995,6.6999424073718465,66.99942407371846
2023-12-13,2023-12-28,56.39,58.24,1.8500000000000014,3.2807235325412334,32.807235325412336
