open,high,low,close,volume,vwap,timestamp,transactions,otc
39.04,39.125,37.985,38.0125,40352596.0,38.3716,2019-03-06 05:00:00,78917,
37.775,37.8725,36.85,37.315,45010492.0,37.3525,2019-03-07 05:00:00,86123,
36.415,37.7675,36.2,37.66,42241484.0,37.2613,2019-03-08 05:00:00,75246,
37.8975,40.515,37.4225,40.285,85972600.0,39.7567,2019-03-11 04:00:00,145516,
40.565,41.0975,39.7975,40.63,57957472.0,40.6117,2019-03-12 04:00:00,111525,
41.0075,42.45,40.9325,42.155,76890072.0,42.0038,2019-03-13 04:00:00,137719,
42.2475,42.3675,41.3125,41.39,51938520.0,41.7852,2019-03-14 04:00:00,91842,
41.825,42.8825,41.79,42.4525,66145928.0,42.4917,2019-03-15 04:00:00,103703,
42.77,43.3125,41.9644,42.2375,48699316.0,42.5543,2019-03-18 04:00:00,91331,
43.19,44.375,43.02,43.9275,85497240.0,43.8812,2019-03-19 04:00:00,155611,
44.22,44.7575,43.25,43.6,71914860.0,43.8213,2019-03-20 04:00:00,125546,
43.8325,46.25,43.7825,45.985,82431068.0,45.3799,2019-03-21 04:00:00,143238,
45.71,46.1999,44.235,44.375,74764348.0,44.9223,2019-03-22 04:00:00,130300,
43.965,44.6125,42.7775,43.445,52521204.0,43.3885,2019-03-25 04:00:00,101481,
44.8723,45.4375,43.6492,44.2175,70350712.0,44.5344,2019-03-26 04:00:00,124457,
44.475,44.9425,43.425,44.125,47437176.0,44.033,2019-03-27 04:00:00,84820,
44.3875,44.975,43.7775,44.3125,48026408.0,44.3708,2019-03-28 04:00:00,76707,
44.985,45.135,44.4775,44.89,45689516.0,44.7896,2019-03-29 04:00:00,74064,
45.815,45.875,45.0936,45.57,48382448.0,45.5259,2019-04-01 04:00:00,83449,
45.8125,46.1972,45.38,45.75,44091984.0,45.7556,2019-04-02 04:00:00,79800,
46.25,47.75,46.2,47.155,78877872.0,47.1858,2019-04-03 04:00:00,179433,
47.0,47.4925,46.4325,47.065,45737676.0,46.9757,2019-04-04 04:00:00,115324,
47.5,47.9125,47.1325,47.7375,47871996.0,47.6186,2019-04-05 04:00:00,88364,
47.43,48.2,47.1875,47.9475,42419368.0,47.699,2019-04-08 04:00:00,78951,
47.61,47.7225,46.89,47.315,43833280.0,47.2703,2019-04-09 04:00:00,86535,
47.3075,48.285,47.2625,48.025,44477228.0,47.9265,2019-04-10 04:00:00,100629,
48.05,48.3675,47.3875,47.885,37460148.0,47.8874,2019-04-11 04:00:00,85484,
48.275,48.315,47.415,47.5025,47170656.0,47.7145,2019-04-12 04:00:00,77459,
47.425,47.475,45.775,46.175,44009380.0,46.2789,2019-04-15 04:00:00,105506,
46.57,47.2425,46.241,47.0525,39496364.0,46.8735,2019-04-16 04:00:00,82793,
47.405,47.615,46.5975,46.8225,35003072.0,47.0118,2019-04-17 04:00:00,81732,
46.89,47.2325,46.295,46.575,37972816.0,46.6639,2019-04-18 04:00:00,71897,
46.3375,47.275,46.02,47.1175,27993552.0,46.851,2019-04-22 04:00:00,60842,
47.25,47.9825,47.1525,47.6675,34685524.0,47.7322,2019-04-23 04:00:00,80589,
47.7725,48.2025,47.16,47.7925,31820480.0,47.7632,2019-04-24 04:00:00,71832,
47.3875,47.6125,45.925,46.7275,49929748.0,46.6346,2019-04-25 04:00:00,118228,
45.1775,45.2219,43.325,44.5225,86898916.0,44.2125,2019-04-26 04:00:00,203236,
44.6025,45.1125,43.875,44.8325,39191932.0,44.6576,2019-04-29 04:00:00,80007,
44.5075,45.5075,44.315,45.25,36292160.0,45.1072,2019-04-30 04:00:00,86534,
45.7775,46.2025,45.115,45.1175,35428124.0,45.6908,2019-05-01 04:00:00,81488,
45.215,46.2175,44.7788,45.7975,39468540.0,45.6469,2019-05-02 04:00:00,92486,
45.8825,45.9825,45.1325,45.7525,33682348.0,45.6293,2019-05-03 04:00:00,81761,
43.875,45.085,43.5,44.9625,42217780.0,44.4929,2019-05-06 04:00:00,104297,
44.475,44.475,42.7925,43.2775,55291732.0,43.5033,2019-05-07 04:00:00,159322,
43.0,44.2875,42.88,43.48,41916616.0,43.7959,2019-05-08 04:00:00,108189,
42.785,42.8825,41.35,42.5475,66024656.0,42.224,2019-05-09 04:00:00,177987,
42.2375,42.8975,41.0,42.205,56949804.0,41.9144,2019-05-10 04:00:00,183395,
40.875,41.1075,39.4525,39.6125,65691276.0,40.1835,2019-05-13 04:00:00,207123,
40.0125,40.865,39.6226,40.51,52487888.0,40.41,2019-05-14 04:00:00,137244,
39.95,40.2625,39.3525,39.895,50232004.0,39.9537,2019-05-15 04:00:00,123035,
39.84,40.4763,39.4125,40.0475,78108816.0,40.3943,2019-05-16 04:00:00,176215,
39.625,40.9275,38.735,39.1325,102130792.0,39.9132,2019-05-17 04:00:00,199006,
38.1375,38.6925,37.6875,37.9375,57206536.0,38.1361,2019-05-20 04:00:00,124527,
38.55,38.925,38.16,38.765,36141868.0,38.6443,2019-05-21 04:00:00,73266,
38.375,38.6375,37.94,38.05,32586960.0,38.2021,2019-05-22 04:00:00,72636,
37.4225,37.4225,36.2278,36.83,59184436.0,36.6902,2019-05-23 04:00:00,141962,
37.02,37.375,36.22,36.2875,35758528.0,36.6838,2019-05-24 04:00:00,86522,
36.465,36.795,35.8125,35.8325,42835408.0,36.1375,2019-05-28 04:00:00,100324,
35.3525,35.705,34.735,35.085,55965148.0,35.1594,2019-05-29 04:00:00,127152,
35.0775,35.4375,34.3925,34.7775,39429960.0,34.917,2019-05-30 04:00:00,86152,
34.285,34.6123,33.8475,33.865,38971968.0,34.2064,2019-05-31 04:00:00,82908,
33.9775,34.3675,33.15,33.445,47744320.0,33.7246,2019-06-03 04:00:00,103140,
34.09,35.8025,33.8669,35.75,64183540.0,35.1414,2019-06-04 04:00:00,118428,
36.4925,36.5475,34.955,35.32,51161540.0,35.4016,2019-06-05 04:00:00,100071,
35.3625,36.1925,35.3375,35.945,40813848.0,35.762,2019-06-06 04:00:00,78007,
36.005,36.72,35.8125,36.375,34885752.0,36.4053,2019-06-07 04:00:00,68343,
36.94,37.7975,36.94,37.1075,40278088.0,37.379,2019-06-10 04:00:00,81985,
37.71,38.09,37.29,37.6875,38387004.0,37.6966,2019-06-11 04:00:00,71171,
37.25,37.3125,36.3975,36.55,35889192.0,36.6863,2019-06-12 04:00:00,67834,
36.7725,37.25,36.595,37.065,30808108.0,36.945,2019-06-13 04:00:00,55021,
36.1275,36.3725,35.709,36.16,39090624.0,36.0217,2019-06-14 04:00:00,76790,
36.1425,36.6302,35.9125,36.2575,27563348.0,36.378,2019-06-17 04:00:00,51829,
36.875,38.7775,36.765,38.22,58191800.0,38.184,2019-06-18 04:00:00,113944,
38.575,38.6892,38.0185,38.28,33164396.0,38.2722,2019-06-19 04:00:00,66554,
39.1925,39.3325,38.3795,38.525,35016728.0,38.7349,2019-06-20 04:00:00,68666,
38.375,38.87,37.875,37.94,43442688.0,38.2102,2019-06-21 04:00:00,68676,
38.155,38.4625,37.68,38.165,28294872.0,38.1719,2019-06-24 04:00:00,51868,
38.215,38.97,37.8425,37.87,31186644.0,38.3549,2019-06-25 04:00:00,62513,
39.1525,40.43,39.0225,39.815,58407300.0,39.9551,2019-06-26 04:00:00,125813,
40.6775,41.0,40.315,40.8075,44544152.0,40.7125,2019-06-27 04:00:00,83543,
41.25,41.3425,40.5875,41.0575,39766636.0,41.0022,2019-06-28 04:00:00,65882,
43.1425,43.4875,41.165,41.5425,71153308.0,42.0237,2019-07-01 04:00:00,129523,
41.375,41.5873,40.425,40.5575,40022752.0,40.8618,2019-07-02 04:00:00,77145,
40.7925,40.85,40.0854,40.6875,24663424.0,40.4525,2019-07-03 04:00:00,50989,
40.1,40.145,39.42,40.0575,39655388.0,39.8529,2019-07-05 04:00:00,74699,
39.4575,39.6475,39.0,39.3025,32978676.0,39.2814,2019-07-08 04:00:00,66058,
38.8775,39.61,38.75,39.3275,34286048.0,39.2579,2019-07-09 04:00:00,64364,
39.765,40.5922,39.625,40.015,45207596.0,40.1021,2019-07-10 04:00:00,83670,
40.75,41.98,40.375,41.57,68255856.0,41.3866,2019-07-11 04:00:00,117970,
41.85,42.6175,41.85,41.9025,50639264.0,42.1532,2019-07-12 04:00:00,93539,
42.115,42.2764,41.5325,41.8175,28983972.0,41.786,2019-07-15 04:00:00,54329,
41.6675,42.0425,41.2106,41.77,34144392.0,41.6925,2019-07-16 04:00:00,70201,
41.7875,42.4975,41.4935,42.4275,34820428.0,42.2346,2019-07-17 04:00:00,61831,
42.5313,43.1775,41.9625,42.545,44317896.0,42.4355,2019-07-18 04:00:00,75810,
42.93,42.995,42.05,42.11,34489580.0,42.5678,2019-07-19 04:00:00,64479,
42.325,42.96,42.25,42.83,31593992.0,42.7017,2019-07-22 04:00:00,60548,
