Start Date,End Date,Start Price,End Price,Price Change,Percent Change,Return
2020-01-27,2020-02-10,37.2013,51.4187,14.217399999999998,38.21748164714673,382.1748164714673
2020-02-24,2020-03-11,55.586,42.282,-13.304000000000002,-23.934084121901204,-239.34084121901202
2020-03-24,2020-04-09,33.6667,38.2,4.533300000000004,13.465234192837444,134.65234192837445
2020-04-23,2020-05-08,47.042,54.628,7.5859999999999985,16.126015050380506,161.26015050380505
2020-05-26,2020-06-08,54.5913,63.328,8.736700000000006,16.003832112442836,160.03832112442836
2020-06-22,2020-07-06,66.288,91.4387,25.1507,37.941558049722424,379.41558049722425
2020-07-21,2020-08-04,104.5573,99.1333,-5.423999999999992,-5.187586136979429,-51.87586136979429
2020-08-19,2020-09-03,125.2353,135.6667,10.431399999999996,8.32944066089992,83.2944066089992
2020-09-18,2020-10-05,147.3833,141.8933,-5.489999999999981,-3.724981052805834,-37.24981052805834
2020-10-19,2020-11-02,143.61,133.5033,-10.106700000000018,-7.037601838312107,-70.37601838312108
2020-11-16,2020-12-01,136.03,194.92,58.889999999999986,43.291920899801504,432.91920899801505
2020-12-15,2020-12-31,211.0833,235.2233,24.139999999999986,11.436243416698519,114.36243416698518
2021-01-13,2021-02-01,284.8033,279.9367,-4.866600000000005,-1.708758290370935,-17.08758290370935
2021-02-12,2021-03-01,272.04,239.4767,-32.56330000000003,-11.970041170416124,-119.70041170416124
2021-03-15,2021-03-30,235.98,211.8733,-24.10669999999999,-10.215569116026778,-102.15569116026778
2021-04-12,2021-04-28,233.9933,231.4667,-2.526600000000002,-1.0797745063640718,-10.797745063640718
2021-05-12,2021-05-27,196.63,210.2833,13.653300000000002,6.943650511112242,69.43650511112243
2021-06-10,2021-06-28,203.3733,229.5733,26.19999999999999,12.882713709223378,128.82713709223378
2021-07-12,2021-07-26,228.5667,219.2067,-9.359999999999985,-4.0950847170650775,-40.950847170650775
2021-08-09,2021-08-23,237.92,235.4333,-2.486699999999985,-1.0451832548755822,-10.45183254875582
2021-09-07,2021-09-22,250.9733,250.6467,-0.3265999999999849,-0.13013336478421605,-1.3013336478421607
2021-10-07,2021-10-21,264.5367,298.0,33.463300000000004,12.649776004614862,126.49776004614863
2021-11-05,2021-11-22,407.3633,385.6233,-21.74000000000001,-5.336759595181994,-53.367595951819936
2021-12-06,2021-12-20,336.3367,299.98,-36.35669999999999,-10.809614294247398,-108.09614294247397
2022-01-03,2022-01-19,399.9267,331.8833,-68.04339999999996,-17.013967809601102,-170.139678096011
2022-02-01,2022-02-18,310.4167,285.66,-24.756699999999967,-7.975311895268511,-79.75311895268511
2022-03-03,2022-03-21,279.7633,307.0533,27.289999999999964,9.754674755409292,97.54674755409293
2022-04-01,2022-04-18,361.53,334.7633,-26.766699999999958,-7.403728597903345,-74.03728597903344
2022-05-02,2022-05-17,300.98,253.87,-47.110000000000014,-15.652202804173038,-156.52202804173038
2022-05-31,2022-06-15,252.7533,233.0,-19.753299999999996,-7.8152490986270005,-78.15249098627
2022-06-29,2022-07-15,228.49,240.0667,11.576699999999988,5.066611230250771,50.66611230250771
2022-07-29,2022-08-15,297.15,309.32,12.170000000000016,4.095574625609967,40.95574625609968
2022-08-29,2022-09-12,284.82,304.42,19.600000000000023,6.88153921775157,68.8153921775157
2022-09-26,2022-10-11,276.01,216.5,-59.50999999999999,-21.560813014021228,-215.6081301402123
2022-10-25,2022-11-09,222.415,177.59,-44.82499999999999,-20.153766607468018,-201.53766607468017
2022-11-25,2022-12-09,182.86,179.05,-3.8100000000000023,-2.083561194356339,-20.83561194356339
2022-12-23,2023-01-09,123.15,119.77,-3.3800000000000097,-2.744620381648404,-27.44620381648404
2023-01-23,2023-02-07,143.75,196.81,53.06,36.91130434782609,369.1130434782609
2023-02-21,2023-03-08,197.37,182.0,-15.370000000000005,-7.787404367431729,-77.87404367431729
2023-03-22,2023-04-10,191.15,184.51,-6.640000000000015,-3.4737117447031203,-34.7371174470312
2023-04-20,2023-05-08,162.99,171.79,8.799999999999983,5.399104239523886,53.991042395238864
2023-05-22,2023-06-05,188.87,217.61,28.74000000000001,15.216815799226985,152.16815799226984
2023-06-20,2023-07-05,274.45,282.48,8.03000000000003,2.9258517034068245,29.258517034068245
2023-07-18,2023-08-03,293.34,259.32,-34.01999999999998,-11.597463694006949,-115.97463694006949
2023-08-16,2023-09-01,225.6,245.01,19.409999999999997,8.603723404255318,86.03723404255318
2023-09-15,2023-10-02,274.39,251.6,-22.789999999999992,-8.305696271730016,-83.05696271730017
2023-10-16,2023-10-30,253.92,197.36,-56.559999999999974,-22.27473219911782,-222.7473219911782
2023-11-13,2023-11-28,223.71,246.72,23.00999999999999,10.285637655893787,102.85637655893787
2023-12-13,2023-12-28,239.29,253.18,13.890000000000015,5.804672155125586,58.046721551255864
