Start Date,End Date,Start Price,End Price,Price Change,Percent Change
2020-01-27,2020-02-10,60.05,65.7425,5.69250000000001,9.479600333055803
2020-02-24,2020-03-11,68.32,61.6175,-6.7024999999999935,-9.810450819672123
2020-03-24,2020-04-09,62.295,65.7375,3.4424999999999955,5.52612569227064
2020-04-23,2020-05-08,71.0025,78.125,7.122500000000002,10.031336924756173
2020-05-26,2020-06-08,87.1775,88.05,0.8725000000000023,1.0008316366034842
2020-06-22,2020-07-06,95.2675,98.3925,3.125,3.280237226756239
2020-07-21,2020-08-04,103.285,112.2775,8.992500000000007,8.70649174613933
2020-08-19,2020-09-03,121.385,130.155,8.769999999999996,7.224945421592451
2020-09-18,2020-10-05,121.8925,136.425,14.532500000000013,11.92239063108888
2020-10-19,2020-11-02,134.9775,125.8075,-9.169999999999987,-6.793724880072596
2020-11-16,2020-12-01,135.1525,133.9,-1.2524999999999977,-0.9267309150774108
2020-12-15,2020-12-31,133.605,130.55,-3.0549999999999784,-2.2865910706934462
2021-01-13,2021-02-01,135.3175,132.37,-2.947499999999991,-2.178210504923599
2021-02-12,2021-03-01,149.6125,138.4175,-11.195000000000022,-7.482663547497716
2021-03-15,2021-03-30,131.9125,128.7175,-3.194999999999993,-2.422060077703018
2021-04-12,2021-04-28,152.09,152.7675,0.6775000000000091,0.4454599250443876
2021-05-12,2021-05-27,137.585,154.88,17.294999999999987,12.57041101864301
2021-06-10,2021-06-28,174.25,199.85,25.599999999999994,14.69153515064562
2021-07-12,2021-07-26,205.125,192.94,-12.185000000000002,-5.940280316879953
2021-08-09,2021-08-23,202.95,219.58,16.630000000000024,8.194136486819426
2021-09-07,2021-09-22,226.62,219.41,-7.210000000000008,-3.1815373753419856
2021-10-07,2021-10-21,210.75,226.92,16.169999999999987,7.672597864768678
2021-11-05,2021-11-22,297.52,319.56,22.04000000000002,7.407905350900787
2021-12-06,2021-12-20,300.37,277.19,-23.180000000000007,-7.7171488497519745
2022-01-03,2022-01-19,301.21,250.67,-50.53999999999999,-16.778991401347895
2022-02-01,2022-02-18,246.38,236.42,-9.960000000000008,-4.04253592012339
2022-03-03,2022-03-21,237.14,267.34,30.19999999999999,12.7350931938939
2022-04-01,2022-04-18,267.12,217.83,-49.28999999999999,-18.45238095238095
2022-05-02,2022-05-17,195.33,181.77,-13.560000000000002,-6.942097988020274
2022-05-31,2022-06-15,186.72,165.27,-21.44999999999999,-11.487789203084827
2022-06-29,2022-07-15,155.42,157.62,2.200000000000017,1.415519238193294
2022-07-29,2022-08-15,181.63,190.32,8.689999999999998,4.784451907724494
2022-08-29,2022-09-12,158.01,145.05,-12.95999999999998,-8.202012530852464
2022-09-26,2022-10-11,122.28,115.86,-6.420000000000002,-5.2502453385672245
2022-10-25,2022-11-09,132.61,137.76,5.149999999999977,3.883568358343999
2022-11-25,2022-12-09,162.7,170.01,7.310000000000002,4.492931776275356
2022-12-23,2023-01-09,152.06,156.28,4.219999999999999,2.7752203077732465
2023-01-23,2023-02-07,191.93,221.73,29.799999999999983,15.526494034283322
2023-02-21,2023-03-08,206.55,241.81,35.25999999999999,17.07092713628661
2023-03-22,2023-04-10,264.68,275.79,11.110000000000014,4.197521535439026
2023-04-20,2023-05-08,271.04,291.51,20.46999999999997,7.552390791027143
2023-05-22,2023-06-05,311.76,391.71,79.94999999999999,25.64472671285604
2023-06-20,2023-07-05,438.08,423.17,-14.909999999999968,-3.4034879474068593
2023-07-18,2023-08-03,474.94,445.15,-29.79000000000002,-6.272371246894348
2023-08-16,2023-09-01,434.86,485.09,50.22999999999996,11.55084394977693
2023-09-15,2023-10-02,439.0,447.82,8.819999999999993,2.0091116173120716
2023-10-16,2023-10-30,460.95,411.61,-49.339999999999975,-10.703980908992293
2023-11-13,2023-11-28,486.2,478.21,-7.990000000000009,-1.6433566433566453
2023-12-13,2023-12-28,480.88,495.22,14.340000000000032,2.98203293961072
